InvoiceDate,Total
10/18/2017,4744
10/21/2017,591.5
10/22/2017,281
10/24/2017,2390
10/25/2017,140
10/26/2017,1000
10/28/2017,2845
10/29/2017,427.5
10/30/2017,690
11/1/2017,190.1
11/2/2017,256
11/4/2017,40
11/5/2017,460
11/7/2017,937
11/11/2017,499.3
11/14/2017,186
11/16/2017,792
11/18/2017,471
11/19/2017,10
11/21/2017,109
11/22/2017,283
11/23/2017,30
11/25/2017,800
11/26/2017,110
11/27/2017,13
11/28/2017,90
11/29/2017,185
11/30/2017,165
12/2/2017,146
12/3/2017,2653
12/5/2017,93
12/7/2017,2932.05
12/9/2017,1130.5
12/12/2017,919.95
12/14/2017,1150
12/16/2017,295
12/17/2017,677
12/18/2017,3912
12/19/2017,120
12/20/2017,100
12/21/2017,24
12/23/2017,60
12/24/2017,20
12/25/2017,3265.9
12/26/2017,8355.83
12/27/2017,7173.3
12/28/2017,2050
1/1/2018,665.06
1/2/2018,96.5
1/3/2018,840
1/4/2018,2046.43
1/6/2018,544.5
1/7/2018,68
1/9/2018,5445
1/10/2018,11
1/11/2018,460
1/13/2018,168
1/15/2018,125
1/16/2018,1150
1/17/2018,37
1/24/2018,145
1/25/2018,477.55
1/27/2018,240
1/29/2018,170
1/30/2018,152.25
2/1/2018,10
2/3/2018,542
2/5/2018,50
2/6/2018,1552
2/7/2018,464.9
2/10/2018,366
2/11/2018,38
2/12/2018,280
2/14/2018,15
2/17/2018,605
2/19/2018,760.3
2/20/2018,52.5
2/21/2018,195
2/24/2018,301
2/26/2018,35
2/27/2018,160
2/28/2018,1653.5
3/1/2018,1160
3/3/2018,260
3/5/2018,2240.5
3/6/2018,745.25
3/7/2018,220
3/8/2018,4
3/10/2018,1095
3/11/2018,389
3/12/2018,3500
3/13/2018,916
3/15/2018,165
3/18/2018,40
3/19/2018,2267.6
3/20/2018,1275
3/22/2018,50
3/25/2018,1422
3/28/2018,160
4/1/2018,594
4/2/2018,62.5
4/3/2018,744
4/4/2018,45
4/7/2018,1520
4/9/2018,1921.5
4/10/2018,280
4/11/2018,425.2
4/12/2018,378.5
4/14/2018,714.5
4/15/2018,8272.8
4/16/2018,102
4/17/2018,220
4/19/2018,64
4/22/2018,1320.06
4/23/2018,160
4/24/2018,52.5
4/26/2018,140
4/28/2018,1894
4/29/2018,1683.08
4/30/2018,165
5/1/2018,649
5/2/2018,680
5/3/2018,4116
5/5/2018,3019
5/6/2018,1516
5/7/2018,1274
5/8/2018,2402.9
5/12/2018,402.42
5/13/2018,80.4
5/15/2018,326
5/16/2018,26
5/17/2018,168
5/24/2018,453
5/27/2018,85.1
5/28/2018,470
6/4/2018,65
6/5/2018,480
1/20/2019,180
1/24/2019,465.2
1/30/2019,512
2/5/2019,1212
2/11/2019,720
2/16/2019,2335.2
2/17/2019,160
2/19/2019,109.8
2/26/2019,40
3/5/2019,706.32
3/6/2019,570
3/7/2019,5640
3/10/2019,690
3/21/2019,440
3/26/2019,1442
4/2/2019,425.2
4/7/2019,1986
4/10/2019,1220
4/13/2019,1454
4/14/2019,14
4/17/2019,76.6
4/22/2019,460
4/25/2019,90
4/27/2019,160
5/2/2019,160
5/9/2019,170
5/14/2019,440
5/16/2019,150
5/21/2019,86
5/28/2019,413
6/12/2019,150
6/13/2019,1608
6/19/2019,40
6/20/2019,170
6/24/2019,240
6/25/2019,230
6/30/2019,380
7/3/2019,300
7/4/2019,2190
7/6/2019,200
7/8/2019,320
7/11/2019,490
7/21/2019,2000
7/23/2019,27.6
7/28/2019,320
7/29/2019,64
7/31/2019,96
8/4/2019,180
9/3/2019,45
9/4/2019,1700
9/7/2019,1760
9/9/2019,1385
9/10/2019,40
9/16/2019,340
9/29/2019,470
9/30/2019,82
10/1/2019,330
10/5/2019,1019.5
10/12/2019,174
10/17/2019,400
10/26/2019,33
